APT攻撃,1288,1288,20,名詞,固有名詞,一般,*,*,*,APT攻撃,エーピーティーコウゲキ,エーピーティーコウゲキ
CVE識別子,1288,1288,20,名詞,固有名詞,一般,*,*,*,CVE識別子,シーブイイーシキベツシ,シーブイイーシキベツシ
EAP-TLS方式,1288,1288,20,名詞,固有名詞,一般,*,*,*,EAP-TLS方式,イーエーピーティーエルエスホウシキ,イーエーピーティーエルエスホウシキ
ITガバナンス,1288,1288,20,名詞,固有名詞,一般,*,*,*,ITガバナンス,アイティーガバナンス,アイティーガバナンス
J-SOX法,1288,1288,20,名詞,固有名詞,一般,*,*,*,J-SOX法,ジェイソックスホウ,ジェイソックスホウ
Pマーク,1288,1288,20,名詞,固有名詞,一般,*,*,*,Pマーク,ピーマーク,ピーマーク
SQLインジェクション,1288,1288,20,名詞,固有名詞,一般,*,*,*,SQLインジェクション,エスキューエルインジェクション,エスキューエルインジェクション
SSLサーバ証明書,1288,1288,20,名詞,固有名詞,一般,*,*,*,SSLサーバ証明書,エスエスエルサーバショウメイショ,エスエスエルサーバショウメイショ
アクセスログ,1288,1288,20,名詞,固有名詞,一般,*,*,*,アクセスログ,アクセスログ,アクセスログ
アクセス履歴,1288,1288,20,名詞,固有名詞,一般,*,*,*,アクセス履歴,アクセスリレキ,アクセスリレキ
アクセス制御,1288,1288,20,名詞,固有名詞,一般,*,*,*,アクセス制御,アクセスセイギョ,アクセスセイギョ
アドウェア,1288,1288,20,名詞,固有名詞,一般,*,*,*,アドウェア,アドウェア,アドウェア
アドウエア,1288,1288,20,名詞,固有名詞,一般,*,*,*,アドウエア,アドウエア,アドウェア
アプリケーション・ゲートウェイ,1288,1288,20,名詞,固有名詞,一般,*,*,*,アプリケーション・ゲートウェイ,アプリケーションゲートウェイ,アプリケーションゲートウェイ
オープンリレー,1288,1288,20,名詞,固有名詞,一般,*,*,*,オープンリレー,オープンリレー,オープンリレー
クラウド,1288,1288,20,名詞,固有名詞,一般,*,*,*,クラウド,クラウド,クラウド
サイドチャネル,1288,1288,20,名詞,固有名詞,一般,*,*,*,サイドチャネル,サイドチャネル,サイドチャネル
サイバーセキュリティ基本法,1288,1288,20,名詞,固有名詞,一般,*,*,*,サイバーセキュリティ基本法,サイバーセキュリティキホンホウ,サイバーセキュリティキホンホウ
サイバーリスク保険,1288,1288,20,名詞,固有名詞,一般,*,*,*,サイバーリスク保険,サイバーリスクホケン,サイバーリスクホケン
サイバー攻撃,1288,1288,20,名詞,固有名詞,一般,*,*,*,サイバー攻撃,サイバーコウゲキ,サイバーコウゲキ
サイバー犯罪条約,1288,1288,20,名詞,固有名詞,一般,*,*,*,サイバー犯罪条約,サイバーハンザイジョウヤク,サイバーハンザイジョウヤク
サンドボックス,1288,1288,20,名詞,固有名詞,一般,*,*,*,サンドボックス,サンドボックス,サンドボックス
シャドーIT,1288,1288,20,名詞,固有名詞,一般,*,*,*,シャドーIT,シャドーアイティ,シャドーアイティ
スパイウェア,1288,1288,20,名詞,固有名詞,一般,*,*,*,スパイウェア,スパイウェア,スパイウェア
スマートフォン,1288,1288,20,名詞,固有名詞,一般,*,*,*,スマートフォン,スマートフォン,スマートフォン
セキュリティインテリジェンス,1288,1288,20,名詞,固有名詞,一般,*,*,*,セキュリティインテリジェンス,セキュリティインテリジェンス,セキュリティインテリジェンス
セキュリティホール,1288,1288,20,名詞,固有名詞,一般,*,*,*,セキュリティホール,セキュリティホール,セキュリティホール
セキュリティポリシー,1288,1288,20,名詞,固有名詞,一般,*,*,*,セキュリティポリシー,セキュリティポリシー,セキュリティポリシー
セッションハイジャック,1288,1288,20,名詞,固有名詞,一般,*,*,*,セッションハイジャック,セッションハイジャック,セッションハイジャック
ゾンビPC,1288,1288,20,名詞,固有名詞,一般,*,*,*,ゾンビPC,ゾンビピーシー,ゾンビピーシー
チェーンメール,1288,1288,20,名詞,固有名詞,一般,*,*,*,チェーンメール,チェーンメール,チェーンメール
デスクトップ仮想化,1288,1288,20,名詞,固有名詞,一般,*,*,*,デスクトップ仮想化,デスクトップカソウカ,デスクトップカソウカ
トロイの木馬,1288,1288,20,名詞,固有名詞,一般,*,*,*,トロイの木馬,トロイノモクバ,トロイノモクバ
ネットワークセキュリティ,1288,1288,20,名詞,固有名詞,一般,*,*,*,ネットワークセキュリティ,ネットワークセキュリティ,ネットワークセキュリティ
パーソナルデータ,1288,1288,20,名詞,固有名詞,一般,*,*,*,パーソナルデータ,パーソナルデータ,パーソナルデータ
ハードコード,1288,1288,20,名詞,固有名詞,一般,*,*,*,ハードコード,ハードコード,ハードコード
バグハンター,1288,1288,20,名詞,固有名詞,一般,*,*,*,バグハンター,バグハンター,バグハンター
バックドア,1288,1288,20,名詞,固有名詞,一般,*,*,*,バックドア,バックドア,バックドア
ハッシュ関数,1288,1288,20,名詞,固有名詞,一般,*,*,*,ハッシュ関数,ハッシュカンスウ,ハッシュカンスウ
ビットコイン,1288,1288,20,名詞,固有名詞,一般,*,*,*,ビットコイン,ビットコイン,ビットコイン
ファイアウォール,1288,1288,20,名詞,固有名詞,一般,*,*,*,ファイアウォール,ファイアウォール,ファイアウォール
プライバシー影響評価,1288,1288,20,名詞,固有名詞,一般,*,*,*,プライバシー影響評価,プライバシーエイキョウヒョウカ,プライバシーエイキョウヒョウカ
プライバシー保護,1288,1288,20,名詞,固有名詞,一般,*,*,*,プライバシー保護,プライバシーホゴ,プライバシーホゴ
プロキシ,1288,1288,20,名詞,固有名詞,一般,*,*,*,プロキシ,プロキシ,プロキシ
ポートスキャン,1288,1288,20,名詞,固有名詞,一般,*,*,*,ポートスキャン,ポートスキャン,ポートスキャン
マイナンバー制度,1288,1288,20,名詞,固有名詞,一般,*,*,*,マイナンバー制度,マイナンバーセイド,マイナンバーセイド
マクロウイルス,1288,1288,20,名詞,固有名詞,一般,*,*,*,マクロウイルス,マクロウイルス,マクロウイルス
マルウェア,1288,1288,20,名詞,固有名詞,一般,*,*,*,マルウェア,マルウェア,マルウェア
ミドルウェア,1288,1288,20,名詞,固有名詞,一般,*,*,*,ミドルウェア,ミドルウェア,ミドルウェア
リスクアセスメント,1288,1288,20,名詞,固有名詞,一般,*,*,*,リスクアセスメント,リスクアセスメント,リスクアセスメント
ルートキット,1288,1288,20,名詞,固有名詞,一般,*,*,*,ルートキット,ルートキット,ルートキット
レースコンディション,1288,1288,20,名詞,固有名詞,一般,*,*,*,レースコンディション,レースコンディション,レースコンディション
ワンクリック詐欺,1288,1288,20,名詞,固有名詞,一般,*,*,*,ワンクリック詐欺,ワンクリックサギ,ワンクリックサギ
ワンクリック請求,1288,1288,20,名詞,固有名詞,一般,*,*,*,ワンクリック請求,ワンクリックセイキュウ,ワンクリックセイキュウ
暗号化,1288,1288,20,名詞,固有名詞,一般,*,*,*,暗号化,アンゴウカ,アンゴウカ
監査ログ,1288,1288,20,名詞,固有名詞,一般,*,*,*,監査ログ,カンサログ,カンサログ
共通鍵,1288,1288,20,名詞,固有名詞,一般,*,*,*,共通鍵,キョウツウカギ,キョウツウカギ
共通鍵暗号方式,1288,1288,20,名詞,固有名詞,一般,*,*,*,共通鍵暗号方式,キョウツウカギアンゴウホウシキ,キョウツウカギアンゴウホウシキ
個人情報,1288,1288,20,名詞,固有名詞,一般,*,*,*,個人情報,コジンジョウホウ,コジンジョウホウ
個人情報保護法,1288,1288,20,名詞,固有名詞,一般,*,*,*,個人情報保護法,コジンジョウホウホゴホウ,コジンジョウホウホゴホウ
公開鍵,1288,1288,20,名詞,固有名詞,一般,*,*,*,公開鍵,コウカイカギ,コウカイカギ
公開鍵暗号方式,1288,1288,20,名詞,固有名詞,一般,*,*,*,公開鍵暗号方式,コウカイカギアンゴウホウシキ,コウカイカギアンゴウホウシキ
公開鍵証明書,1288,1288,20,名詞,固有名詞,一般,*,*,*,公開鍵証明書,コウカイカギショウメイショ,コウカイカギショウメイショ
秘密鍵,1288,1288,20,名詞,固有名詞,一般,*,*,*,秘密鍵,ヒミツカギ,ヒミツカギ
行動ターゲティング広告,1288,1288,20,名詞,固有名詞,一般,*,*,*,行動ターゲティング広告,コウドウターゲティングコウコク,コウドウターゲティングコウコク
国家安全保障会議,1288,1288,20,名詞,固有名詞,一般,*,*,*,国家安全保障会議,コッカアンゼンホショウカイギ,コッカアンゼンホショウカイギ
最高情報セキュリティ責任者,1288,1288,20,名詞,固有名詞,一般,*,*,*,最高情報セキュリティ責任者,サイコウジョウホウセキュリティセキニンシャ,サイコウジョウホウセキュリティセキニンシャ
次世代ファイアウォール,1288,1288,20,名詞,固有名詞,一般,*,*,*,次世代ファイアウォール,ジセダイファイアウォール,ジセダイファイアウォール
冗長化,1288,1288,20,名詞,固有名詞,一般,*,*,*,冗長化,ジョウチョウカ,ジョウチョウカ
情報セキュリティ,1288,1288,20,名詞,固有名詞,一般,*,*,*,情報セキュリティ,ジョウホウセキュリティ,ジョウホウセキュリティ
情報セキュリティアドミニストレータ,1288,1288,20,名詞,固有名詞,一般,*,*,*,情報セキュリティアドミニストレータ,ジョウホウセキュリティアドミニストレータ,ジョウホウセキュリティアドミニストレータ
情報セキュリティポリシー,1288,1288,20,名詞,固有名詞,一般,*,*,*,情報セキュリティポリシー,ジョウホウセキュリティポリシー,ジョウホウセキュリティポリシー
情報漏洩,1288,1288,20,名詞,固有名詞,一般,*,*,*,情報漏洩,ジョウホウロウエイ,ジョウホウロウエイ
情報漏えい,1288,1288,10,名詞,固有名詞,一般,*,*,*,情報情報漏えい,ジョウホウロウエイ,ジョウホウロウエイ
水飲み場型攻撃,1288,1288,20,名詞,固有名詞,一般,*,*,*,水飲み場型攻撃,ミズノミバガタコウゲキ,ミズノミバガタコウゲキ
水飲み場攻撃,1288,1288,20,名詞,固有名詞,一般,*,*,*,水飲み場攻撃,ミズノミバコウゲキ,ミズノミバコウゲキ
制御システムセキュリティ,1288,1288,20,名詞,固有名詞,一般,*,*,*,制御システムセキュリティ,セイギョシステムセキュリティ,セイギョシステムセキュリティ
生体認証,1288,1288,20,名詞,固有名詞,一般,*,*,*,生体認証,セイタイニンショウ,セイタイニンショウ
脆弱性,1288,1288,20,名詞,固有名詞,一般,*,*,*,脆弱性,ゼイジャクセイ,ゼイジャクセイ
楕円曲線暗号,1288,1288,20,名詞,固有名詞,一般,*,*,*,楕円曲線暗号,ダエンキョクセンアンゴウ,ダエンキョクセンアンゴウ
電子署名,1288,1288,20,名詞,固有名詞,一般,*,*,*,電子署名,デンシショメイ,デンシショメイ
電子証明書,1288,1288,20,名詞,固有名詞,一般,*,*,*,電子証明書,デンシショウメイショ,デンシショウメイショ
特権ID管理,1288,1288,20,名詞,固有名詞,一般,*,*,*,特権ID管理,トッケンアイディーカンリ,トッケンアイディーカンリ
特定個人情報,1288,1288,20,名詞,固有名詞,一般,*,*,*,特定個人情報,トクテイコジンジョウホウ,トクテイコジンジョウホウ
特定秘密保護法,1288,1288,20,名詞,固有名詞,一般,*,*,*,特定秘密保護法,トクテイヒミツホゴホウ,トクテイヒミツホゴホウ
内部統制,1288,1288,20,名詞,固有名詞,一般,*,*,*,内部統制,ナイブトウセイ,ナイブトウセイ
二要素認証,1288,1288,20,名詞,固有名詞,一般,*,*,*,二要素認証,ニヨウソニンショウ,ニヨウソニンショウ
二段階認証,1288,1288,20,名詞,固有名詞,一般,*,*,*,二段階認証,ニダンカイニンショウ,ニダンカイニンショウ
多要素認証,1288,1288,20,名詞,固有名詞,一般,*,*,*,多要素認証,タヨウソニンショウ,タヨウソニンショウ
認証局,1288,1288,20,名詞,固有名詞,一般,*,*,*,認証局,ニンショウキョク,ニンショウキョク
標的型攻撃,1288,1288,20,名詞,固有名詞,一般,*,*,*,標的型攻撃,ヒョウテキガタコウゲキ,ヒョウテキガタコウゲキ
不正アクセス,1288,1288,20,名詞,固有名詞,一般,*,*,*,不正アクセス,フセイアクセス,フセイアクセス
不正アクセス禁止法,1288,1288,20,名詞,固有名詞,一般,*,*,*,不正アクセス禁止法,フセイアクセスキンシホウ,フセイアクセスキンシホウ
不正アプリ,1288,1288,20,名詞,固有名詞,一般,*,*,*,不正アプリ,フセイアプリ,フセイアプリ
不正送金,1288,1288,20,名詞,固有名詞,一般,*,*,*,不正送金,フセイソウキン,フセイソウキン
不正利用,1288,1288,20,名詞,固有名詞,一般,*,*,*,不正利用,フセイソリヨウ,フセイリヨウ
不正ログイン,1288,1288,20,名詞,固有名詞,一般,*,*,*,不正ログイン,フセイソログイン,フセイログイン
持続的標的型攻撃,1288,1288,20,名詞,固有名詞,一般,*,*,*,持続的標的型攻撃,ジゾクテキヒョウテキガタコウゲキ,ジゾクテキヒョウテキガタコウゲキ
辞書攻撃,1288,1288,20,名詞,固有名詞,一般,*,*,*,辞書攻撃,ジショコウゲキ,ジショコウゲキ
遠隔操作,1288,1288,20,名詞,固有名詞,一般,*,*,*,遠隔操作,エンカクソウサ,エンカクソウサ
無線LAN,1288,1288,20,名詞,固有名詞,一般,*,*,*,無線LAN,ムセンラン,ムセンラン
仮想通貨,1288,1288,20,名詞,固有名詞,一般,*,*,*,カソウツウカ,カソウツウカ,カソウツウカ
